College Name ,City and State ,Selectivity 
Auburn University ," Auburn, AL ",3
Samford University ," Birmingham, AL ",3
Spring Hill College ," Mobile, AL ",3
University of Mobile ," Mobile, AL ",3
Alaska Pacific University ," Anchorage, AK ",3
Embry-Riddle Aeronautical University-Prescott Campus ," Prescott, AZ ",3
Grand Canyon University ," Phoenix, AZ ",3
Hendrix College ," Conway, AR ",2
John Brown University ," Siloam Springs, AR ",3
Lyon College ," Batesville, AR ",3
Ouachita Baptist University ," Arkadelphia, AR ",3
University of Arkansas at Fayetteville ," Fayetteville, AR ",3
University of Central Arkansas ," Conway, AR ",3
Biola University ," La Mirada, CA ",3
California Institute of Technology ," Pasadena, CA ",1
California Polytechnic State University ," San Luis Obispo, CA ",2
Claremont McKenna College ," Claremont, CA ",1
Concordia University - Irvine ," Irvine, CA ",3
Harvey Mudd College ," Claremont, CA ",1
La Sierra University ," Riverside, CA ",3
Mills College ," Oakland, CA ",2
Mount St. Mary's College/Chalon Campus ," Los Angeles, CA ",3
Pacific Union College ," Angwin, CA ",3
Pepperdine University ," Malibu, CA ",2
Pitzer College ," Claremont, CA ",1
Point Loma Nazarene University ," San Diego, CA ",3
Pomona College ," Claremont, CA ",1
San Diego State University ," San Diego, CA ",3
Santa Clara University ," Santa Clara, CA ",1
Stanford University ," Stanford, CA ",1
University of California at Berkeley ," Berkeley, CA ",1
University of California at Davis ," Davis, CA ",2
University of California at Irvine ," Irvine, CA ",3
University of California at Los Angeles ," Los Angeles, CA ",1
University of California at San Diego ," La Jolla, CA ",3
University of California at Santa Barbara ," Santa Barbara, CA ",2
University of California at Santa Cruz ," Santa Cruz, CA ",3
University of La Verne ," La Verne, CA ",3
University of Redlands ," Redlands, CA ",3
University of San Diego ," San Diego, CA ",2
University of San Francisco ," San Francisco, CA ",3
University of Southern California ," Los Angeles, CA ",1
University of the Pacific ," Stockton, CA ",3
Vanguard University of Southern California ," Costa Mesa, CA ",3
Westmont College ," Santa Barbara, CA ",2
Colorado Christian University ," Lakewood, CO ",3
Colorado College ," Colorado Springs, CO ",1
Colorado School of Mines ," Golden, CO ",2
Colorado State University - Fort Collins ," Fort Collins, CO ",3
United States Air Force Academy ," Colorado Springs, CO ",1
University of Colorado at Colorado Springs ," Colorado Springs, CO ",3
University of Colorado Boulder ," Boulder, CO ",3
Connecticut College ," New London, CT ",1
Fairfield University ," Fairfield, CT ",3
Quinnipiac University ," Hamden, CT ",3
Sacred Heart University ," Fairfield, CT ",3
Trinity College ," Hartford, CT ",2
